Court,Year,Metric,Value,Unit
Magistrates Court,2025,Location_Sanma_Filings,637,
Magistrates Court,2025,Location_Sanma_Pct,26,%
Magistrates Court,2025,Location_Shefa_Filings,613,
Magistrates Court,2025,Location_Shefa_Pct,25,%
Magistrates Court,2025,Location_Malampa_Filings,417,
Magistrates Court,2025,Location_Malampa_Pct,17,%
Magistrates Court,2025,Location_Tafea_Filings,392,
Magistrates Court,2025,Location_Tafea_Pct,16,%
Magistrates Court,2025,Location_Penama_Filings,245,
Magistrates Court,2025,Location_Penama_Pct,10,%
Magistrates Court,2025,Location_Torba_Filings,150,
Magistrates Court,2025,Location_Torba_Pct,6,%
Island Court,2025,Location_Sanma_Filings,107,
Island Court,2025,Location_Sanma_Pct,27,%
Island Court,2025,Location_Shefa_Filings,99,
Island Court,2025,Location_Shefa_Pct,25,%
Island Court,2025,Location_Malampa_Filings,67,
Island Court,2025,Location_Malampa_Pct,17,%
Island Court,2025,Location_Tafea_Filings,63,
Island Court,2025,Location_Tafea_Pct,16,%
Island Court,2025,Location_Penama_Filings,40,
Island Court,2025,Location_Penama_Pct,10,%
Island Court,2025,Location_Torba_Filings,20,
Island Court,2025,Location_Torba_Pct,5,%
Supreme Court,2025,ChargeOrders,1240,
Magistrates Court,2025,ChargeOrders,190,
Court of Appeal,2025,CoA_Civil_Dismissed,61,%
Court of Appeal,2025,CoA_Civil_Allowed,25,%
Court of Appeal,2025,CoA_Civil_Withdrawn,9,%
Court of Appeal,2025,CoA_Criminal_Dismissed,56,%
Court of Appeal,2025,CoA_Criminal_Allowed,30,%
Court of Appeal,2025,CoA_Criminal_Withdrawn,9,%
