Court,Year,Metric,Value,Unit
Magistrates Court,2018,Pending_NoFutureDate,29,%
Island Court,2018,Pending_WithFutureListing,33,%
Island Court,2018,Pending_UnderCaseMgmt,38,%
Island Court,2018,Pending_NoFutureDate,29,%
Magistrates Court,2018,DV_Filings,750,
Magistrates Court,2018,DV_Disposals,761,
Magistrates Court,2018,DV_ClearanceRate,101,%
Magistrates Court,2018,Location_Sanma_Filings,468,
Magistrates Court,2018,Location_Sanma_Pct,26,%
Magistrates Court,2018,Location_Shefa_Filings,450,
Magistrates Court,2018,Location_Shefa_Pct,25,%
Magistrates Court,2018,Location_Malampa_Filings,306,
Magistrates Court,2018,Location_Malampa_Pct,17,%
Magistrates Court,2018,Location_Tafea_Filings,288,
Magistrates Court,2018,Location_Tafea_Pct,16,%
Magistrates Court,2018,Location_Penama_Filings,180,
Magistrates Court,2018,Location_Penama_Pct,10,%
Magistrates Court,2018,Location_Torba_Filings,108,
Magistrates Court,2018,Location_Torba_Pct,6,%
Island Court,2018,Location_Sanma_Filings,126,
Island Court,2018,Location_Sanma_Pct,28,%
Island Court,2018,Location_Shefa_Filings,113,
Island Court,2018,Location_Shefa_Pct,25,%
Island Court,2018,Location_Malampa_Filings,77,
Island Court,2018,Location_Malampa_Pct,17,%
Island Court,2018,Location_Tafea_Filings,72,
Island Court,2018,Location_Tafea_Pct,16,%
Island Court,2018,Location_Penama_Filings,45,
Island Court,2018,Location_Penama_Pct,10,%
Island Court,2018,Location_Torba_Filings,17,
Island Court,2018,Location_Torba_Pct,4,%
Supreme Court,2018,ChargeOrders,1050,
Magistrates Court,2018,ChargeOrders,155,
Court of Appeal,2018,CoA_Civil_Dismissed,56,%
Court of Appeal,2018,CoA_Civil_Allowed,30,%
Court of Appeal,2018,CoA_Civil_Withdrawn,9,%
Court of Appeal,2018,CoA_Criminal_Dismissed,52,%
Court of Appeal,2018,CoA_Criminal_Allowed,33,%
Court of Appeal,2018,CoA_Criminal_Withdrawn,10,%
